NodeLabel, x_undeformed, y_undeformed, z_undeformed, x_deformed, y_deformed, z_deformed
10333, 0.27000, 0.64000, 0.02000, 0.27019, 0.63991, 0.01968
10620, 0.26000, 0.64000, 0.02000, 0.26019, 0.63991, 0.01967
10907, 0.25000, 0.64000, 0.02000, 0.25018, 0.63990, 0.01967
11194, 0.24000, 0.64000, 0.02000, 0.24018, 0.63990, 0.01966
11481, 0.23000, 0.64000, 0.02000, 0.23017, 0.63990, 0.01965
11768, 0.22000, 0.64000, 0.02000, 0.22017, 0.63989, 0.01964
12055, 0.21000, 0.64000, 0.02000, 0.21016, 0.63989, 0.01963
12342, 0.20000, 0.64000, 0.02000, 0.20016, 0.63988, 0.01962
12629, 0.19000, 0.64000, 0.02000, 0.19015, 0.63988, 0.01961
12916, 0.18000, 0.64000, 0.02000, 0.18015, 0.63988, 0.01959
13203, 0.17000, 0.64000, 0.02000, 0.17014, 0.63987, 0.01958
13490, 0.16000, 0.64000, 0.02000, 0.16013, 0.63987, 0.01957
13777, 0.15000, 0.64000, 0.02000, 0.15013, 0.63986, 0.01956
14064, 0.14000, 0.64000, 0.02000, 0.14012, 0.63986, 0.01955
14351, 0.13000, 0.64000, 0.02000, 0.13011, 0.63986, 0.01954
14638, 0.12000, 0.64000, 0.02000, 0.12011, 0.63985, 0.01953
14925, 0.11000, 0.64000, 0.02000, 0.11010, 0.63985, 0.01952
15212, 0.10000, 0.64000, 0.02000, 0.10009, 0.63984, 0.01951
15499, 0.09000, 0.64000, 0.02000, 0.09008, 0.63984, 0.01950
15786, 0.08000, 0.64000, 0.02000, 0.08007, 0.63984, 0.01949
16073, 0.07000, 0.64000, 0.02000, 0.07006, 0.63983, 0.01949
16360, 0.06000, 0.64000, 0.02000, 0.06006, 0.63983, 0.01948
16647, 0.05000, 0.64000, 0.02000, 0.05005, 0.63983, 0.01947
16934, 0.04000, 0.64000, 0.02000, 0.04004, 0.63982, 0.01947
17221, 0.03000, 0.64000, 0.02000, 0.03003, 0.63982, 0.01946
17508, 0.02000, 0.64000, 0.02000, 0.02002, 0.63982, 0.01946
17795, 0.01000, 0.64000, 0.02000, 0.01001, 0.63982, 0.01946
675, 0.00000, 0.64000, 0.02000, 0.00000, 0.63982, 0.01946
287, 0.32000, 0.64000, 0.03000, 0.32021, 0.63992, 0.02973
9184, 0.31000, 0.64000, 0.03000, 0.31020, 0.63992, 0.02972
9471, 0.30000, 0.64000, 0.03000, 0.30020, 0.63992, 0.02971
9758, 0.29000, 0.64000, 0.03000, 0.29020, 0.63992, 0.02970
10045, 0.28000, 0.64000, 0.03000, 0.28019, 0.63992, 0.02969
10332, 0.27000, 0.64000, 0.03000, 0.27019, 0.63992, 0.02968
10619, 0.26000, 0.64000, 0.03000, 0.26018, 0.63991, 0.02967
10906, 0.25000, 0.64000, 0.03000, 0.25018, 0.63991, 0.02966
11193, 0.24000, 0.64000, 0.03000, 0.24017, 0.63991, 0.02966
11480, 0.23000, 0.64000, 0.03000, 0.23017, 0.63990, 0.02965
11767, 0.22000, 0.64000, 0.03000, 0.22016, 0.63990, 0.02964
12054, 0.21000, 0.64000, 0.03000, 0.21016, 0.63990, 0.02963
12341, 0.20000, 0.64000, 0.03000, 0.20015, 0.63989, 0.02962
12628, 0.19000, 0.64000, 0.03000, 0.19015, 0.63989, 0.02960
12915, 0.18000, 0.64000, 0.03000, 0.18014, 0.63989, 0.02959
13202, 0.17000, 0.64000, 0.03000, 0.17014, 0.63988, 0.02958
13489, 0.16000, 0.64000, 0.03000, 0.16013, 0.63988, 0.02957
13776, 0.15000, 0.64000, 0.03000, 0.15012, 0.63987, 0.02956
14063, 0.14000, 0.64000, 0.03000, 0.14012, 0.63987, 0.02955
14350, 0.13000, 0.64000, 0.03000, 0.13011, 0.63987, 0.02954
14637, 0.12000, 0.64000, 0.03000, 0.12010, 0.63986, 0.02953
14924, 0.11000, 0.64000, 0.03000, 0.11010, 0.63986, 0.02952
15211, 0.10000, 0.64000, 0.03000, 0.10009, 0.63986, 0.02951
15498, 0.09000, 0.64000, 0.03000, 0.09008, 0.63985, 0.02950
15785, 0.08000, 0.64000, 0.03000, 0.08007, 0.63985, 0.02949
16072, 0.07000, 0.64000, 0.03000, 0.07006, 0.63985, 0.02948
16359, 0.06000, 0.64000, 0.03000, 0.06005, 0.63984, 0.02948
