syNorm,n,Fn/(sqrt(E*sy)h_r^2),w/(sqrt(Fn/sy))
0.00025,0.1,1.52394163516232,0.9715670264422132
0.00025,0.2,2.7368832438924335,0.6313650451227871
0.00025,0.3,4.251776048282517,0.4728695048234767
0.00025,0.4,6.876513048305114,0.36334649584588163
0.00025,0.5,11.488395990575341,0.2640106437899764
0.0005,0.1,2.211487927987207,0.9164505153030753
0.0005,0.2,3.1244220933998146,0.6936876735863405
0.0005,0.3,4.862013302165767,0.5359816332844455
0.0005,0.4,7.4310048785665455,0.4239226659505241
0.0005,0.5,11.571465834915925,0.31956131813633554
0.00075,0.1,2.465262062701396,0.9434140813357323
0.00075,0.2,3.5071224262902723,0.7332080246247814
0.00075,0.3,5.035687851045587,0.5886624612450877
0.00075,0.4,7.612816415139652,0.4681550294763234
0.00075,0.5,11.483651717748812,0.3603979815077681
0.001,0.1,2.7791365601567097,0.9314576964876797
0.001,0.2,3.8852655739083826,0.7552717012909889
0.001,0.3,5.442872261175903,0.6154903889788267
0.001,0.4,7.8272206748335815,0.5007954213480904
0.001,0.5,11.451829562666175,0.39198702605684904
0.00125,0.1,2.942515328026532,0.964955005024466
0.00125,0.2,3.9109102983972117,0.7983166708406726
0.00125,0.3,5.497675985150208,0.6498120699351772
0.00125,0.4,7.892908616173046,0.5313996994980815
0.00125,0.5,11.575766816280382,0.41701104570374786
0.0015,0.1,3.109709816113806,0.984484339056464
0.0015,0.2,4.115660657502087,0.8164550452811776
0.0015,0.3,5.5209396958072166,0.6825179314285763
0.0015,0.4,7.923493546446171,0.5588078412141657
0.0015,0.5,11.4154463450615,0.4416569350448127
0.00175,0.1,3.232982023530304,1.0076559703756216
0.00175,0.2,4.189986449012531,0.8428141392764756
0.00175,0.3,5.672957919227553,0.7016478498585595
0.00175,0.4,8.10347803868969,0.5517528033602349
0.00175,0.5,11.493489235795485,0.46246464509323215
0.002,0.1,3.4215316438665146,1.0174640584094987
0.002,0.2,4.314797502496979,0.8622141102223788
0.002,0.3,5.728779713270865,0.7241929975776571
0.002,0.4,8.119270581012717,0.5730032191093329
0.002,0.5,11.332986158685717,0.48273966681874425
0.00225,0.1,3.4052128996306656,1.0425884219806307
0.00225,0.2,4.4414485913415405,0.8758411405265736
0.00225,0.3,5.918022245462181,0.737304525657653
0.00225,0.4,8.01981609953135,0.5945115089571477
0.00225,0.5,11.603668567454992,0.4696563907417697
0.0025,0.1,3.669546401125655,1.0416023159571561
0.0025,0.2,4.519798174367977,0.895997136820146
0.0025,0.3,6.071149617764682,0.7508578904045531
0.0025,0.4,8.0203678420504,0.6128697202543073
0.0025,0.5,11.101471377736905,0.49575785765512614
0.00275,0.1,3.8326099314366475,1.0447310086121606
0.00275,0.2,4.68320529925587,0.9021402634125057
0.00275,0.3,6.17272272393404,0.7640048740105245
0.00275,0.4,8.158710298573569,0.6254233407352978
0.00275,0.5,11.141738605070534,0.511147341008338
0.003,0.1,3.990141773998029,1.0417945315662207
0.003,0.2,4.78331845282592,0.9143679342605737
0.003,0.3,6.268445648228985,0.7747826560222542
0.003,0.4,8.266153378297233,0.6379335582796162
0.003,0.5,11.277398000909704,0.5216887777995146
0.00325,0.1,3.862949870384387,1.0734294549882575
0.00325,0.2,4.88713724653746,0.9245364522336611
0.00325,0.3,6.352597547834383,0.7894431604862102
0.00325,0.4,8.354213011717631,0.6506601809629597
0.00325,0.5,11.328420055125424,0.5343600052433691
0.0035,0.1,3.929785199458174,1.0852300966445052
0.0035,0.2,4.925545281028414,0.9405017341376959
0.0035,0.3,6.281783944804128,0.8095619635386127
0.0035,0.4,8.323880657299652,0.6659973952059821
0.0035,0.5,11.230992575201093,0.5500943371541837
0.00375,0.1,4.250553073001378,1.0681409203654089
0.00375,0.2,4.965461015684968,0.958101915975148
0.00375,0.3,6.494996687086339,0.7819554808038373
0.00375,0.4,8.385842702759698,0.6778674709916949
0.00375,0.5,11.283104673277913,0.5617368029884825
0.004,0.1,4.090112261471798,1.1026376527250892
0.004,0.2,5.001108326173234,0.9682219579546738
0.004,0.3,6.338313640939498,0.8031759534163783
0.004,0.4,8.533686466293029,0.6861944294934833
0.004,0.5,11.386296406061048,0.5710387924280333
0.00425,0.1,4.227491947669385,1.1001470145286651
0.00425,0.2,5.16256957131432,0.9725307265254122
0.00425,0.3,6.382479048944486,0.8141607553428007
0.00425,0.4,8.5102430182281,0.6965162758429814
0.00425,0.5,11.414856937320296,0.5817568808139824
0.0045,0.1,4.418616576896945,1.1003703290651732
0.0045,0.2,5.194115068807798,0.9790506964947246
0.0045,0.3,6.437330192743364,0.8261776835948715
0.0045,0.4,8.500300122711849,0.7098193494737275
0.0045,0.5,11.48865016187529,0.5908676367432452
0.00475,0.1,4.461280305726967,1.1102196169170953
0.00475,0.2,5.335556922910309,0.9839544789375922
0.00475,0.3,6.565399732506629,0.8289441912400912
0.00475,0.4,8.517983990137013,0.7213651138714703
0.00475,0.5,11.526668395258614,0.6006004404707861
