Yield Strength,Strain Hardening,Residual Depth,Width,Pile-up Height,Normal Force,Tangential Force
550.0,0.5,0.037580666666666596,0.2799973333333334,0.010947777777777778,165.03584,54.50639
600.0,0.1,0.04208911111111113,0.3742533333333333,0.025367555555555588,77.43164,27.38244
600.0,0.2,0.041623999999999994,0.3556715555555556,0.02247555555555547,90.78363,31.26863
600.0,0.3,0.040914666666666766,0.339124,0.019195333333333342,114.94988,40.05654
600.0,0.4,0.03949888888888897,0.3095506666666666,0.015490444444444473,141.27452,47.52018
600.0,0.5,0.03733199999999992,0.2794582222222222,0.010945333333333362,172.17181,57.00586
650.0,0.1,0.04238511111111121,0.37452044444444443,0.025453333333333328,79.12567,26.63701
650.0,0.2,0.041451333333333285,0.35482888888888886,0.022313111111111117,95.74216,33.07148
650.0,0.3,0.04058511111111118,0.33821466666666666,0.018996222222222303,119.30441,41.57647
650.0,0.4,0.03918888888888894,0.3086733333333333,0.015425555555555581,146.28612,48.5407
650.0,0.5,0.037019111111111114,0.278852,0.010928666666666587,177.00804,58.42046
700.0,0.1,0.04229622222222218,0.3741026666666666,0.025406666666666577,83.18327,28.35938
700.0,0.2,0.04122977777777781,0.35381866666666667,0.0221055555555556,99.06958,34.50965
700.0,0.3,0.040443555555555566,0.33738355555555555,0.018787555555555557,121.57539,40.15819
700.0,0.4,0.03898311111111119,0.3079604444444445,0.015390666666666775,149.67279,49.86663
700.0,0.5,0.03670200000000001,0.27817555555555556,0.010849333333333266,179.00354,56.39273
750.0,0.1,0.04195755555555547,0.3733822222222223,0.025303777777777814,91.64556,31.74869
750.0,0.2,0.040907555555555586,0.35292888888888896,0.02193422222222219,101.76824,35.13202
750.0,0.3,0.04014244444444448,0.3232715555555556,0.018643777777777815,128.18352,42.91928
750.0,0.4,0.03873844444444441,0.3072928888888889,0.015291555555555392,154.12628,51.24825
750.0,0.5,0.03639622222222216,0.27752088888888893,0.0107544444444444,183.05722,58.72245
800.0,0.1,0.042054666666666574,0.3729062222222223,0.025236666666666685,91.50053,31.48475
800.0,0.2,0.04091177777777777,0.35224222222222223,0.021778444444444323,105.8822,36.55873
800.0,0.3,0.04007488888888888,0.3222217777777778,0.0184617777777778,128.75923,43.9119
800.0,0.4,0.03845977777777776,0.30655422222222223,0.015117777777777786,159.66518,53.17779
800.0,0.5,0.03613488888888894,0.27686533333333335,0.010642444444444399,188.05978,60.35045
850.0,0.1,0.04206355555555552,0.37264977777777786,0.025197777777777763,97.52573,33.47292
850.0,0.2,0.04058488888888889,0.3512395555555555,0.021562888888888798,110.87129,38.14853
850.0,0.3,0.03987844444444444,0.321252,0.01832111111111112,132.33974,45.14127
850.0,0.4,0.03836733333333331,0.305328,0.014720888888888894,163.33891,53.91586
850.0,0.5,0.035872444444444374,0.2761471111111111,0.010507777777777672,191.52121,60.70902
900.0,0.1,0.04165644444444461,0.37201555555555554,0.02510777777777773,102.86958,35.75274
900.0,0.2,0.04064200000000007,0.35013288888888894,0.021312444444444467,115.106,39.53963
900.0,0.3,0.03960466666666684,0.3205306666666667,0.01821600000000001,135.46739,46.6694
900.0,0.4,0.03812266666666675,0.3046106666666667,0.014508444444444435,165.74371,55.39642
900.0,0.5,0.03563755555555559,0.27556844444444445,0.010386666666666655,195.7587,62.43961
950.0,0.1,0.04149511111111104,0.3706484444444445,0.024899111111111094,105.88396,35.80976
950.0,0.2,0.0403148888888889,0.3490253333333333,0.02108399999999999,119.53291,40.05808
950.0,0.3,0.03951977777777793,0.31974,0.018061111111111083,141.34061,47.64635
950.0,0.4,0.03789200000000004,0.30387688888888886,0.014278222222222192,168.58102,56.51954
950.0,0.5,0.03538088888888902,0.27481022222222223,0.010200666666666636,198.89235,63.1825
1000.0,0.1,0.0415011111111111,0.37022666666666665,0.024819777777777774,107.47083,37.36745
1000.0,0.2,0.04015600000000008,0.34826355555555555,0.02090622222222227,120.20443,40.973
1000.0,0.3,0.03932644444444455,0.3188973333333333,0.01790355555555556,142.75104,48.78107
1000.0,0.4,0.03768288888888882,0.30314844444444444,0.014042666666666648,171.80026,57.36503
1000.0,0.5,0.03514444444444442,0.2741217777777778,0.0099986666666666,201.49326,62.81575
1050.0,0.1,0.04164844444444449,0.36934133333333335,0.02462977777777775,109.24284,37.17182
1050.0,0.2,0.04003755555555555,0.3472097777777778,0.02065533333333336,122.41538,41.54872
1050.0,0.3,0.03914822222222225,0.3181488888888889,0.017753777777777757,146.73972,49.99999
1050.0,0.4,0.037528888888888834,0.30256488888888894,0.013856444444444449,175.81224,59.78683
1050.0,0.5,0.034943555555555506,0.27360444444444443,0.009836888888889006,202.73206,61.31293
1100.0,0.1,0.04166511111111104,0.36844177777777787,0.024409777777777752,108.13566,36.1384
1100.0,0.2,0.03991222222222224,0.33398222222222224,0.020477555555555638,125.00064,42.09937
1100.0,0.3,0.03895599999999999,0.3174213333333333,0.017601333333333358,152.27966,51.72233
1100.0,0.4,0.03735177777777776,0.3019506666666667,0.013642444444444513,178.26837,59.557
1100.0,0.5,0.03468422222222223,0.27316977777777773,0.009697333333333225,205.21706,61.73413
1150.0,0.1,0.041298222222222236,0.35600133333333334,0.02430644444444452,116.34676,39.81327
1150.0,0.2,0.03976688888888891,0.3333924444444444,0.020470888888888927,128.09109,43.04124
1150.0,0.3,0.03882844444444433,0.31666044444444447,0.01742755555555553,151.3304,50.63404
1150.0,0.4,0.03714955555555566,0.30133733333333335,0.013433333333333408,181.87579,61.17566
1150.0,0.5,0.03447711111111118,0.27266311111111113,0.009513111111111083,207.70273,62.08441
1200.0,0.1,0.04118288888888899,0.35484666666666664,0.02422688888888891,132.77164,44.63162
1200.0,0.2,0.039674666666666636,0.3328551111111111,0.020487555555555592,131.83853,44.56722
1200.0,0.3,0.03862088888888904,0.3159106666666666,0.017278666666666664,156.33337,52.86067
1200.0,0.4,0.036930888888888846,0.3007266666666667,0.013224666666666662,184.5041,61.7802
1200.0,0.5,0.034428000000000125,0.2720533333333333,0.009181777777777844,210.02161,62.85885
1250.0,0.1,0.04107177777777782,0.3539266666666666,0.02411288888888896,136.37564,48.97202
1250.0,0.2,0.03954044444444438,0.3322671111111111,0.020451333333333266,136.25674,46.80516
1250.0,0.3,0.038483111111111135,0.3151853333333333,0.017119555555555555,156.46265,53.11502
1250.0,0.4,0.03679777777777771,0.3001413333333333,0.013019111111111203,184.18024,61.04541
1250.0,0.5,0.034214222222222146,0.27159288888888883,0.009016222222222092,211.81345,65.07299
1300.0,0.1,0.0411568888888888,0.3532306666666667,0.023978666666666704,129.57178,40.21717
1300.0,0.2,0.0394053333333334,0.33167066666666667,0.020393555555555443,137.90279,46.1541
1300.0,0.3,0.038324666666666674,0.3144831111111111,0.016979555555555526,161.93427,54.42587
1300.0,0.4,0.03658288888888883,0.2995671111111111,0.012817999999999774,186.31866,61.72988
1300.0,0.5,0.033995999999999804,0.2713053333333333,0.008913111111111038,213.44994,65.44378
1350.0,0.1,0.04131488888888901,0.3524755555555555,0.023871333333333355,130.42368,42.76025
1350.0,0.2,0.03927488888888886,0.33103955555555553,0.020335555555555662,141.2784,47.69501
1350.0,0.3,0.03823244444444429,0.3138164444444444,0.016871999999999998,166.43207,55.45504
1350.0,0.4,0.03641711111111101,0.28392355555555554,0.01268888888888886,189.81935,62.79004
1350.0,0.5,0.03380111111111117,0.27078399999999997,0.00868666666666662,216.78383,64.44724
1400.0,0.1,0.04095555555555552,0.35165244444444443,0.023716888888888787,132.08337,43.03795
1400.0,0.2,0.03913644444444431,0.33039999999999997,0.020253777777777704,143.74365,47.48647
1400.0,0.3,0.038065333333333284,0.31321244444444446,0.016748000000000096,167.50946,54.89301
1400.0,0.4,0.03633688888888886,0.28269600000000006,0.012424888888888819,192.1015,63.49035
1400.0,0.5,0.03356133333333333,0.27061511111111114,0.008682888888888796,219.46021,64.95108
1450.0,0.1,0.040775777777777744,0.350832,0.023600888888889004,136.34358,45.95797
1450.0,0.2,0.03901488888888882,0.3298537777777778,0.02018600000000015,146.50604,48.99679
1450.0,0.3,0.037866222222222135,0.31255600000000006,0.016588222222222226,168.85504,55.11012
