syNorm,n,Ft/Fn,h_p/h_r,H_s/E
0.00025,0.1,0.3440960865992659,0.3728916809442219,0.0010593865769472142
0.00025,0.2,0.35488398556243506,0.4121856005825283,0.0025086434041443058
0.00025,0.3,0.3516168536301287,0.40375928603480105,0.0044721605382942895
0.00025,0.4,0.3420273030747855,0.36821619996994487,0.007574571119986145
0.00025,0.5,0.3446242325675592,0.2953421618818273,0.014346868831836323
0.0005,0.1,0.34793778383390367,0.4650928443217463,0.0023812881794410146
0.0005,0.2,0.34571431492385685,0.4757538118677736,0.004156253619279373
0.0005,0.3,0.3410719138098393,0.44023463551666414,0.00696193846098391
0.0005,0.4,0.3512204284724902,0.3904074872388259,0.011129014808168346
0.0005,0.5,0.35354698465608536,0.306072878769476,0.019584910349874116
0.00075,0.1,0.3421133554996061,0.515694854241332,0.0033706724106452356
0.00075,0.2,0.34960087573027443,0.5056370394361387,0.005580419347777349
0.00075,0.3,0.34228864233945744,0.4572517059537542,0.008657421670349786
0.00075,0.4,0.35700262926107207,0.3921722499973982,0.0136880589787937
0.00075,0.5,0.33698289980711915,0.3091321519205576,0.02309705214456431
0.001,0.1,0.35288533842185693,0.5472217954084251,0.004610348127392079
0.001,0.2,0.3558734265881061,0.5214660390743523,0.007012188236039749
0.001,0.3,0.35079494858340265,0.46787378951828706,0.010558869926779887
0.001,0.4,0.3529306213519621,0.395537119604983,0.015949214254028145
0.001,0.5,0.3372164059959397,0.30910512987403516,0.026032543650401998
0.00125,0.1,0.33929817816560315,0.5722347927446105,0.00536977239849616
0.00125,0.2,0.35167351387244283,0.529960564549602,0.007845481583964477
0.00125,0.3,0.34690235209059467,0.4701215517868878,0.011841165647652589
0.00125,0.4,0.34467656832685245,0.3961227683561677,0.01770628275894034
0.00125,0.5,0.33502594602442237,0.30822085208020916,0.028752451998356836
0.0015,0.1,0.3443873080852143,0.5814753002248074,0.006190612590298696
0.0015,0.2,0.3419160880091521,0.5361463006378294,0.009000915740137363
0.0015,0.3,0.33929866649064133,0.47188896113429857,0.0128802151850893
0.0015,0.4,0.3439911522562281,0.3941028426385011,0.01921437521776072
0.0015,0.5,0.3308845294740011,0.2948955525606457,0.030759632458878413
0.00175,0.1,0.3437562066702923,0.5897938638795328,0.0068940348605300355
0.00175,0.2,0.3384290453385387,0.5391370095163608,0.009854495927039762
0.00175,0.3,0.3477335811511093,0.4705941346620776,0.014218691863890576
0.00175,0.4,0.34852084122256904,0.3910147676466616,0.02299370436196387
0.00175,0.5,0.3309611770713665,0.30199961349142035,0.032729620220587584
0.002,0.1,0.3356387331615904,0.5965020870034413,0.007727728104447137
0.002,0.2,0.34721441278844545,0.5431656938054789,0.010761176022632919
0.002,0.3,0.34520321350265576,0.4714567869771575,0.015253915793553565
0.002,0.4,0.34654373739375915,0.3929700057954551,0.0243655300411715
0.002,0.5,0.3430423729687266,0.2863678842327983,0.03432922619931788
0.00225,0.1,0.34207773275917513,0.5945432803255977,0.00827974027915111
0.00225,0.2,0.3399659984010978,0.5409756738987508,0.011732534147414488
0.00225,0.3,0.3490379199578872,0.4733326202064503,0.01655574429722682
0.00225,0.4,0.3361941008793023,0.38893013280541283,0.025463727417674054
0.00225,0.5,0.3380171429290267,0.2852466437986454,0.04080205499606611
0.0025,0.1,0.3566387063325347,0.6028472126561604,0.009217138773309956
0.0025,0.2,0.3423364117525554,0.5421576939381079,0.012456233944728229
0.0025,0.3,0.3492914815981865,0.4750793163442826,0.017737177093006897
0.0025,0.4,0.3420783394460478,0.39054945420107273,0.026623409376759784
0.0025,0.5,0.3299375628482553,0.28743709771796355,0.04068747950855275
0.00275,0.1,0.3568160428038975,0.6055514045435059,0.010078217223854966
0.00275,0.2,0.3449714773134599,0.5410792571140106,0.013515887015020428
0.00275,0.3,0.3458587140137637,0.47393800975261147,0.0188451859362659
0.00275,0.4,0.3276475847264432,0.3915189138493143,0.028121890643813357
0.00275,0.5,0.33027001892437424,0.2913140917611307,0.04210178152671371
0.003,0.1,0.3536337342202748,0.6027106509469331,0.011056485459511703
0.003,0.2,0.34443026787979286,0.5399662587823245,0.014352887178252083
0.003,0.3,0.3484696112775411,0.46915531512741876,0.019990399141940653
0.003,0.4,0.33636766205257684,0.39217418211482735,0.02948698363210221
0.003,0.5,0.33109868566753176,0.29318904246580374,0.044091843461290324
0.00325,0.1,0.3366418255921245,0.6005253417080406,0.011282266029459252
0.00325,0.2,0.3454223301417056,0.538296583409729,0.015208811396936783
0.00325,0.3,0.34849063835947053,0.4680588940662433,0.020859390735869596
0.00325,0.4,0.3318202711234668,0.3936206407711938,0.030706823522727158
0.00325,0.5,0.33004410421131153,0.2952168849723244,0.04552767385027277
0.0035,0.1,0.3409264867803346,0.6006840642452949,0.011887331572511194
0.0035,0.2,0.3483375017840996,0.536155098256924,0.015827372889406582
0.0035,0.3,0.3303151238091854,0.4645376821468603,0.02136130817385257
0.0035,0.4,0.3331709791739701,0.39480344764684616,0.03156334152057932
0.0035,0.5,0.3150369540177809,0.2956060523495521,0.04626511939369227
0.00375,0.1,0.34642911233233775,0.6030803616353055,0.013147226733869238
0.00375,0.2,0.345215953425155,0.5361900002172909,0.016340594080818917
0.00375,0.3,0.3348268170510531,0.46444052014769677,0.024531675033862572
0.00375,0.4,0.33250818744214156,0.39473850266459004,0.03264387238897252
0.00375,0.5,0.32078740188450366,0.29548243712717365,0.04753631393458131
0.004,0.1,0.3440936353046261,0.6000919438191578,0.013159953217513393
0.004,0.2,0.3452773931784568,0.5323270125962068,0.017067508484145587
0.004,0.3,0.34103885212733875,0.4606819454687619,0.02480267871840065
0.004,0.4,0.3330581533180873,0.3930802165610252,0.033980174623253444
0.004,0.5,0.3209109890482697,0.2945199161167707,0.049066915556788
0.00425,0.1,0.3432214247460645,0.5990406052217281,0.014045832087089948
0.00425,0.2,0.34407942759572835,0.5313033860440645,0.017973897404693455
0.00425,0.3,0.341101395544528,0.45942391601143506,0.025646528792700355
0.00425,0.4,0.3300858319674106,0.38368287837454357,0.035041798087630444
0.00425,0.5,0.31698327302756707,0.2929205951953193,0.05023031064655862
0.0045,0.1,0.3475540582551227,0.6027345375398729,0.014866021700328878
0.0045,0.2,0.3435062464163467,0.5243945781320908,0.018778553841408096
0.0045,0.3,0.3445065266260759,0.45994579763327376,0.026370938474854607
0.0045,0.4,0.33422939549259517,0.3805726543555296,0.03572537838137763
0.0045,0.5,0.3189621202020651,0.2914528368949105,0.05155752945598564
0.00475,0.1,0.3381981557924354,0.6000492695257279,0.015414725926258257
0.00475,0.2,0.3351217668841158,0.522982961905444,0.01962472533007817
0.00475,0.3,0.3371030449069096,0.45701449063478516,0.027650501702239618
0.00475,0.4,0.33526633069369255,0.3768136340711015,0.03651264797329402
0.00475,0.5,0.3176718461016726,0.2883100732347639,0.052672303086568645
0.005,0.1,0.347698533639314,0.5980509223313968,0.015681413430079044
0.005,0.2,0.34086098157946426,0.5206251175969276,0.019821403839417332
0.005,0.3,0.3417212932389144,0.45525487514762364,0.02807420723156536
0.005,0.4,0.33390537360071515,0.37265366538305056,0.037388937544129315
0.005,0.5,0.31175112259338106,0.28450205501106374,0.05362946193529091
0.00525,0.1,0.3402677923788872,0.5913732939205399,0.016016482824414476
0.00525,0.2,0.339407679002426,0.5158989615305637,0.020308698258844557
0.00525,0.3,0.34073930357779064,0.45350150709270093,0.028994582528210446
0.00525,0.4,0.34006068064430556,0.36922074846044595,0.03840979993041755
0.00525,0.5,0.302433320117203,0.2815079556872708,0.05416342680060914
0.0055,0.1,0.334195028725954,0.5858565386441098,0.015931665984188464
0.0055,0.2,0.3367932356186336,0.5130647810473001,0.022412769882483693
0.0055,0.3,0.33965356896646604,0.4518259917171517,0.03022732190143583
0.0055,0.4,0.334086187022409,0.3652421720221577,0.03910500120151439
0.0055,0.5,0.3008235767533167,0.2795891824012167,0.055001959053898763
0.00575,0.1,0.342194918019204,0.5885590985891257,0.018360353568612747
0.00575,0.2,0.33602056161751764,0.5147722002112317,0.023048221039471378
0.00575,0.3,0.3345926528972368,0.4488347603131731,0.03018342658727133
0.00575,0.4,0.33635955615642965,0.36160145478037825,0.04005889884236509
0.00575,0.5,0.2989099372935541,0.27592541267314086,0.05587524353317539
0.006,0.1,0.3361532628504099,0.5882756052945388,0.021088896505001304
0.006,0.2,0.3380439693919524,0.5163888515481485,0.023799174178687498
0.006,0.3,0.3381278737866394,0.44739173964578577,0.03132947414591532
0.006,0.4,0.3348445915294023,0.3580922925103349,0.040803003828127196
0.006,0.5,0.29929705805035967,0.26669506732246456,0.05675261483616135
0.00625,0.1,0.3590965365955386,0.5870914334254947,0.02177410062728059
0.00625,0.2,0.34350711751947094,0.5172256817211061,0.024683871602344008
0.00625,0.3,0.3394741173053122,0.44485892801459775,0.0314998638843189
0.00625,0.4,0.33144386173022683,0.3538015580651037,0.040890405298225796
0.00625,0.5,0.30721840374159437,0.2635226416564879,0.057431047878538574
0.0065,0.1,0.31038525518442367,0.5826161139487943,0.020769384128509875
0.0065,0.2,0.3346857594396748,0.5175328776702496,0.025071996643629992
0.0065,0.3,0.3360985293600916,0.4430450942531926,0.032747195237631636
0.0065,0.4,0.3313134604982668,0.3503823888520989,0.04152389509341152
0.0065,0.5,0.3066001330335347,0.2621811716411075,0.05799751291383521
