syNorm,n,hrNorm,wNorm,hpNorm,fnNorm,ftNorm
0.00025,0.1,0.817133333333333,7.794079999999998,0.30470222222222176,0.0010593865769472142,0.0019829944408924064
0.00025,0.2,0.8789244444444466,7.30088,0.36227999999999927,0.0025086434041443058,0.004390643320377868
0.00025,0.3,0.8914222222222223,6.912337777777777,0.35992000000000024,0.0044721605382942895,0.0071443793334101165
0.00025,0.4,0.8872444444444438,6.723004444444444,0.326697777777778,0.007574571119986145,0.011290259650228233
0.00025,0.5,0.865542222222222,6.159626666666666,0.25563111111111203,0.014346868831836324,0.01889620248908902
0.0005,0.1,0.8468177777777797,7.717893333333333,0.393848888888888,0.002381288179441015,0.004441214159903128
0.0005,0.2,0.8695066666666684,7.129831111111111,0.4136711111111091,0.004156253619279372,0.006838774379574438
0.0005,0.3,0.8796622222222217,6.952346666666665,0.3872577777777786,0.00696193846098391,0.010882114115754878
0.0005,0.4,0.8680844444444435,6.708568888888888,0.33890666666666736,0.011129014808168346,0.016979360258922285
0.0005,0.5,0.8417022222222204,6.1187733333333325,0.2576222222222202,0.019584910349874116,0.026200240754407578
0.00075,0.1,0.8420311111111123,7.536968888888889,0.4342311111111119,0.003370672410645235,0.0059651541004168175
0.00075,0.2,0.8645199999999997,7.17319111111111,0.4371333333333305,0.005580419347777349,0.009370180540486507
0.00075,0.3,0.8714577777777799,6.956275555555555,0.39847555555555747,0.008657421670349786,0.01359208976754087
0.00075,0.4,0.8551911111111132,6.6751377777777785,0.33538222222222025,0.013688058978793698,0.021068986378199414
0.00075,0.5,0.8248755555555576,6.087591111111112,0.254995555555555,0.02309705214456431,0.0292262192517889
0.001,0.1,0.8388311111111113,7.324746666666666,0.45902666666666647,0.004610348127392079,0.00806299251925932
0.001,0.2,0.8583066666666661,7.185484444444444,0.44757777777777674,0.007012188236039749,0.012016367854706656
0.001,0.3,0.8600799999999986,6.945031111111111,0.4024088888888877,0.010558869926779886,0.01694814117101822
0.001,0.4,0.8442977777777783,6.6521155555555564,0.3339511111111104,0.015949214254028145,0.02414394976731784
0.001,0.5,0.8125822222222223,6.061448888888889,0.25117333333333214,0.026032543650401998,0.03275140840054248
0.00125,0.1,0.8426533333333341,7.418017777777779,0.4821955555555557,0.005369772398496161,0.009202571901231782
0.00125,0.2,0.8565333333333336,7.191688888888888,0.45392888888888594,0.007845481583964479,0.013302878186210456
0.00125,0.3,0.8548711111111107,6.927084444444445,0.4018933333333363,0.011841165647652589,0.01872265491035304
0.00125,0.4,0.8349600000000001,6.629457777777777,0.33074666666666586,0.01770628275894034,0.026043309843936314
0.00125,0.5,0.8001333333333327,6.037502222222222,0.24661777777777782,0.02875245199835684,0.035725580421857944
0.0015,0.1,0.8441822222222206,7.447013333333335,0.4908711111111108,0.006190612590298696,0.010831633834711881
0.0015,0.2,0.8549822222222225,7.195919999999998,0.4583955555555552,0.009000915740137363,0.014851685037205058
0.0015,0.3,0.8475911111111123,6.906915555555555,0.3999688888888886,0.0128802151850893,0.01983222768036296
0.0015,0.4,0.826462222222224,6.605733333333333,0.32571111111111106,0.01921437521776072,0.028054020165878418
0.0015,0.5,0.791466666666667,6.001244444444445,0.23339999999999916,0.030759632458878413,0.0374075778216137
0.00175,0.1,0.8432400000000007,7.469742222222223,0.49733777777777766,0.0068940348605300355,0.012095461800385536
0.00175,0.2,0.8523333333333349,7.189324444444443,0.45952444444444573,0.009854495927039762,0.01607215738816974
0.00175,0.3,0.8420088888888899,6.879884444444444,0.3962444444444446,0.014218691863890576,0.022305810084247913
0.00175,0.4,0.8201111111111103,6.297866666666667,0.32067555555555627,0.02299370436196387,0.03166415467058635
0.00175,0.5,0.7819288888888876,5.993937777777778,0.2361422222222198,0.032729620220587584,0.03973986363773967
0.002,0.1,0.840120000000002,7.476755555555557,0.5011333333333323,0.007727728104447137,0.013256646887909408
0.002,0.2,0.8482044444444448,7.1835377777777785,0.46071555555555754,0.010761176022632919,0.017984777047411457
0.002,0.3,0.8370933333333341,6.861226666666666,0.3946533333333324,0.015253915793553566,0.023659133427226677
0.002,0.4,0.8128977777777768,6.276159999999999,0.31944444444444553,0.0243655300411715,0.03319058727150489
0.002,0.5,0.7751955555555545,5.9571555555555555,0.2219911111111128,0.03432922619931788,0.042806547505665184
0.00225,0.1,0.8473955555555546,7.48558222222222,0.5038133333333317,0.00827974027915111,0.014501733015956446
0.00225,0.2,0.844999999999998,7.161413333333333,0.45712444444444333,0.011732534147414488,0.019110208689173905
0.00225,0.3,0.8309777777777771,6.843511111111111,0.3933288888888886,0.016555744297226817,0.025863053353544066
0.00225,0.4,0.8081999999999989,6.247635555555556,0.31433333333333424,0.025463727417674054,0.03342147445558849
0.00225,0.5,0.7657466666666668,5.624933333333334,0.21842666666666677,0.04080205499606611,0.04599777679440495
0.0025,0.1,0.8388711111111102,7.4854577777777775,0.505711111111109,0.009217138773309956,0.01683031166281289
0.0025,0.2,0.8387555555555548,7.145235555555556,0.45473777777777613,0.012456233944728229,0.020361261667475525
0.0025,0.3,0.8251066666666662,6.826817777777778,0.3919911111111096,0.0177371770930069,0.02762739718270416
0.0025,0.4,0.8024933333333317,6.229048888888889,0.3134133333333322,0.02662340937675978,0.035396625693948414
0.0025,0.5,0.7595555555555555,5.610924444444445,0.21832444444444432,0.04068747950855275,0.04460506626244884
0.00275,0.1,0.8387066666666643,7.490808888888887,0.5078800000000006,0.010078217223854966,0.018431520842422538
0.00275,0.2,0.836377777777777,7.130417777777778,0.45254666666666665,0.013515887015020427,0.022194236745743102
0.00275,0.3,0.8212044444444433,6.806951111111111,0.38919999999999844,0.0188451859362659,0.028937972855100167
0.00275,0.4,0.7961244444444437,6.210586666666667,0.3116977777777774,0.028121890643813357,0.03565253661150697
0.00275,0.5,0.7516133333333319,5.599946666666667,0.21895555555555557,0.04210178152671371,0.04606652678332742
0.003,0.1,0.8417822222222227,7.4850666666666665,0.5073511111111118,0.011056485459511703,0.020017244965884445
0.003,0.2,0.8324799999999999,7.113431111111111,0.4495111111111094,0.014352887178252083,0.023447647914351298
0.003,0.3,0.8182933333333353,6.78248,0.38390666666666684,0.019990399141940653,0.030761617513909184
0.003,0.4,0.7899777777777794,6.1910133333333315,0.30980888888888947,0.02948698363210221,0.03819681955357528
0.003,0.5,0.7466399999999984,5.589164444444444,0.21890666666666725,0.04409184346129033,0.048225423898236704
0.00325,0.1,0.8477022222222241,7.490408888888888,0.5090666666666666,0.011282266029459252,0.019465371940002783
0.00325,0.2,0.8290266666666657,7.096577777777777,0.44626222222222234,0.015208811396936783,0.024828995106210602
0.00325,0.3,0.8117022222222237,6.764293333333333,0.37992444444444606,0.020859390735869596,0.031971748847088206
0.00325,0.4,0.7837777777777788,6.173466666666665,0.3085111111111116,0.03070682352272716,0.03907252492130016
0.00325,0.5,0.7403822222222223,5.577039999999999,0.21857333333333173,0.045527673850272773,0.049475829958367384
0.0035,0.1,0.8459244444444436,7.482053333333331,0.5081333333333315,0.011887331572511192,0.020735586693714825
0.0035,0.2,0.8245955555555562,7.076373333333333,0.442111111111112,0.015827372889406586,0.025945687424619408
0.0035,0.3,0.8088711111111113,6.747671111111111,0.37575111111111115,0.02136130817385257,0.030919123402595276
0.0035,0.4,0.7796622222222238,6.159208888888889,0.3078133333333355,0.03156334152057932,0.040186256178155515
0.0035,0.5,0.7340400000000002,5.563511111111111,0.21698666666666533,0.04626511939369227,0.047816593718008234
0.00375,0.1,0.8391511111111094,7.467644444444446,0.5060755555555563,0.01314722673386924,0.023236140301121914
0.00375,0.2,0.8181511111111117,7.058577777777779,0.43868444444444377,0.016340594080818914,0.026446884266124567
0.00375,0.3,0.8028488888888896,6.465431111111111,0.3728755555555563,0.024531675033862572,0.0337585418064754
0.00375,0.4,0.7747688888888882,6.145857777777778,0.30583111111110783,0.03264387238897252,0.0413445036590366
0.00375,0.5,0.7279244444444433,5.550417777777779,0.215088888888888,0.04753631393458132,0.049850707422427025
0.004,0.1,0.8410933333333315,7.4581244444444454,0.5047333333333337,0.013159953217513393,0.023057670677468334
0.004,0.2,0.8182355555555554,7.044844444444444,0.43556888888888645,0.017067508484145587,0.02754770300737041
0.004,0.3,0.8014977777777776,6.444435555555555,0.369235555555556,0.024802678718400646,0.034595513553540194
0.004,0.4,0.7691955555555552,6.131084444444444,0.3023555555555557,0.033980174623253444,0.04295281499590207
0.004,0.5,0.7226977777777788,5.537306666666667,0.21284888888888798,0.049066915556788,0.0512933684547593
0.00425,0.1,0.8412711111111104,7.452995555555557,0.5039555555555553,0.014045832087089948,0.024522128512518435
0.00425,0.2,0.8116977777777779,7.02479111111111,0.43125777777777596,0.017973897404693455,0.028786647915244244
0.00425,0.3,0.7975688888888888,6.425039999999999,0.3664222222222224,0.025646528792700355,0.03561769831576328
